Ref,Val,Package,PosX,PosY,Rot,Side
"C1","22u","C_0805_2012Metric",106.000000,-91.000000,0.000000,top
"C2","22u","C_0805_2012Metric",111.900000,-96.750000,90.000000,top
"C3","10u","C_0603_1608Metric",93.500000,-82.500000,0.000000,top
"C4","100n","C_0402_1005Metric",90.000000,-86.520000,90.000000,top
"C5","100n","C_0402_1005Metric",99.000000,-96.000000,180.000000,top
"C6","100n","C_0402_1005Metric",102.000000,-87.500000,270.000000,top
"C7","100n","C_0402_1005Metric",93.500000,-84.000000,0.000000,top
"C8","10n","C_0402_1005Metric",90.000000,-91.500000,90.000000,top
"C9","1u","C_0402_1005Metric",88.000000,-96.000000,180.000000,top
"C10","1u","C_0402_1005Metric",88.500000,-98.000000,180.000000,top
"C11","100n","C_0402_1005Metric",93.500000,-96.000000,0.000000,top
"C12","10p","C_0402_1005Metric",88.500000,-88.500000,90.000000,top
"C13","10p","C_0402_1005Metric",88.500000,-91.500000,270.000000,top
"D1","RED","LED_0603_1608Metric",114.000000,-97.500000,270.000000,top
"FB1","120R","L_0603_1608Metric",90.500000,-96.500000,90.000000,top
"J1","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",115.500000,-87.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",114.490000,-95.000000,0.000000,top
"R2","10k","R_0402_1005Metric",89.200000,-82.700000,270.000000,top
"R3","1k5","R_0402_1005Metric",110.100000,-87.025000,270.000000,top
"R4","1k5","R_0402_1005Metric",94.500000,-98.500000,180.000000,top
"R5","1k5","R_0402_1005Metric",97.000000,-98.500000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",85.000000,-83.500000,270.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",107.000000,-96.500000,270.000000,top
"U2","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",96.000000,-90.000000,0.000000,top
"Y1","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",85.500000,-91.000000,270.000000,top
